"Name","Version","ModuleBase"
"AppBackgroundTask","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\AppBackgroundTask"
"AppLocker","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\AppLocker"
"AppvClient","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\AppvClient"
"Appx","2.0.1.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Appx"
"AssignedAccess","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\AssignedAccess"
"BitLocker","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\BitLocker"
"BitsTransfer","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\BitsTransfer"
"BranchCache","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\BranchCache"
"CimCmdlets","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\CimCmdlets"
"ConfigCI","1.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\ConfigCI"
"ConfigDefender","1.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\ConfigDefender"
"ConfigDefenderPerformance","1.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\ConfigDefenderPerformance"
"Defender","1.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Defender"
"DefenderPerformance","1.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\DefenderPerformance"
"DeliveryOptimization","1.0.3.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\DeliveryOptimization"
"DirectAccessClientComponents","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\DirectAccessClientComponents"
"Dism","3.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Dism"
"DnsClient","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\DnsClient"
"EventTracingManagement","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\EventTracingManagement"
"Get-NetView","2023.2.7.226","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Get-NetView"
"HgsClient","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\HgsClient"
"HgsDiagnostics","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\HgsDiagnostics"
"HostNetworkingService","1.0.0.1","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\HostNetworkingService"
